permit_number,lease_name,operator_name,operator_number,county_code,county_name,district,issue_date,received_date,amended_date,extended_date,spud_date,well_number,well_status,total_depth,application_type,app_type_desc,horizontal_flag,directional_flag,sidetrack_flag,surface_section,surface_block,surface_survey,surface_abstract,gis_surface_lat,gis_surface_lon,gis_bottomhole_lat,gis_bottomhole_lon,field_count,field_numbers,lease_count,survey_count,restriction_count,remark_count,address
2090534,WHIRLAWAY,"TRIPLE CROWN RESOURCES, LLC",87037,046,,0,,,,,,9N103H,0,1300,20,,,N,N,10,G,"TWNG RR CO / JACKS, J A",1017,31.1014765,-101.9156982,31.1300646,-101.9147261,1,38527920,1,1,2,12,
2090635,WATERLOGGED,"NILE MIDSTREAM, LLC",61095,010,,1,,,,,,0  24S,7,799,60,,,N,N,22,B21,"PSL / WADDELL, W N & CO",1258,31.4976550,-102.6690150,31.4976550,-102.6690150,1,37893680,1,0,3,0,
2090676,PORTERFIELD A,WILDFIRE ENERGY OPERATING LLC,92344,004,,0,,,,,,3   1H,0,850,40,,,N,N,,,"RUIZ, F",48,30.7001438,-96.4989628,30.6763740,-96.4837492,1,33473361,1,1,1,16,
2090760,IRON JACKET UNIT,"FE PERMIAN OPERATING I, L.L.C.",10258,030,,1,,,,,,0 236H,0,1350,20,,,N,N,19,C24,"PSL/BRUNSON, G S",1000,31.9383131,-103.3554857,31.9692862,-103.3676523,1,37105290,1,1,2,29,
2090770,SOUTH CURTIS RANCH,OCCIDENTAL PERMIAN LTD.,61754,031,Blanco,1,,,,,,03524L,0,1200,40,,,N,N,35,39 T1N,T&P RR CO,313,32.1125983,-102.1045335,32.1554694,-102.1161111,1,38528030,1,1,1,16,
2090966,MIKEY,SM ENERGY COMPANY,78899,010,,1,,,,,,90190W,6,1150,70,,,N,N,32,43 T4S,"T&P RR CO/SHIPLEY, J T",296,31.5855257,-102.3601385,31.5482151,-102.3475234,1,37027910,1,1,1,12,
2090992,HERBERT 101E,OVINTIV USA INC.,62865,046,,0,,,,,,9 304H,5,1030,80,,,N,N,101,D,CCSD&RGNG RR CO,61,31.4271694,-102.1210639,31.3742466,-102.1018535,3,38527920; 38527920; 38527920,3,3,3,48,
2091047,UL CONEJO 34/3 A,MEWBOURNE OIL COMPANY,56256,010,,1,,,,,,0F101A,0,1019,00,,,N,N,34,43 T4S,"T&P RR CO/ SHIPLEY, J T",295,31.5813735,-102.3780576,31.5530725,-102.3686161,1,36999620,1,1,1,21,
2091057,STATE MINT A UNIT,"EOG RESOURCES, INC.",25316,038,,1,,,,,,0 731H,4,1400,20,,,N,N,19,57,"PSL/ CAROTHERS, A B",4441,31.5698220,-103.8824970,31.5469590,-103.8804420,3,37105290; 37105290; 37105290,3,3,5,46,
2091058,STATE MINT A UNIT,"EOG RESOURCES, INC.",25316,038,,1,,,,,,0 732H,8,1400,20,,,N,N,19,57,"PSL/ CAROTHERS, A B",4441,31.5698210,-103.8826263,31.5469354,-103.8839731,1,37105290,1,1,1,12,
2091061,ANDERSON,"MAGNUM PRODUCING, LP",52151,032,,0,,,,,,3   1,0,1070,61,,,N,N,,,"HALL, E",45,28.9650548,-96.0000285,28.9650548,-96.0000285,5,35546825; 35546843; 35546855; 35547340; 35547377,5,0,1,4,
2091065,UL CONEJO 34/3 D,MEWBOURNE OIL COMPANY,56256,010,,1,,,,,,0F101D,0,1000,00,,,N,N,34,43 T4S,"T&P RR CO / SHIPLEY, J T",295,31.5783623,-102.3892491,31.5499253,-102.3818686,2,36999620; 36999620,2,2,2,42,
2091073,AVALANCHE 57-T2-21 I,BPX OPERATING COMPANY,08540,038,,1,,,,,,0W109H,0,1205,80,,,N,N,21,57 T2,T&P RR CO,628,31.8264264,-103.9654484,31.8251704,-103.9599290,1,37105290,0,1,2,21,
2091074,STATE AVALANCHE 57-T2-28X21 YB,BPX OPERATING COMPANY,08540,038,,1,,,,,,0X102H,0,1205,80,,,N,N,28,57 T2,"T&P RR CO / SIMERLEY, W T",2457,31.8134829,-103.9695028,31.8395155,-103.9704257,3,37105290; 37105290; 37105290,0,3,6,48,
2091075,UNIVERSITY -C-,M.A.R.S. ENERGY,51856,037,Bowie,1,,,,,,0  11,0,155,90,,,N,N,13,18,UL,U61,30.8875165,-102.3135182,30.8916409,-102.3134856,1,38856200,0,1,2,16,4 W. TEXAS AVE STE 311
2091090,UL BIG BEAR 22501 B 29-20-17,"BTA OIL PRODUCERS, LLC",04186,010,,1,,,,,,0  06H,0,1005,70,,,N,N,29,30,UL,U29,31.4815747,-102.3827553,31.5166902,-102.3973707,1,36999620,1,1,2,16,
2091094,BIG KAHUNA,CONOCOPHILLIPS COMPANY,17223,038,,1,,,,,,0 806H,0,1100,20,,,N,N,19,57 T1,T&P RR CO,604,31.9434194,-104.0065778,31.9126604,-104.0016193,1,33191380,1,1,2,29,
2091095,BIG KAHUNA,CONOCOPHILLIPS COMPANY,17223,038,,1,,,,,,0 809H,0,1100,20,,,N,N,19,57 T1,T&P RR CO,604,31.9434583,-104.0067667,31.9126444,-104.0067833,3,33191380; 33191380; 33191380,3,3,6,87,
2091114,STATE-DARNEILLE,"BLOCK T OPERATING (TEXAS), LLC",10368,036,,0,,,,,,3   1,0,1100,60,,,N,Y,1,,GC&SF RR CO,239,30.0579748,-94.0286614,30.0645177,-94.0429009,1,30000600,1,1,1,12,
2091126,DIRE WOLF F,"VITAL ENERGY, INC.",10095,047,Brooks,1,,,,,,0   9F,0,1000,10,,,N,N,8,1,"W&NW RR CO/MONROE, R",1404,31.6287076,-103.3807882,31.5973381,-103.4091933,1,39210005,0,1,2,29,
2091127,DIRE WOLF H,"VITAL ENERGY, INC.",10095,047,Brooks,1,,,,,,0  11B,0,1300,10,,,N,N,8,1,"W&NW RR CO/MONROE, R",1404,31.6286043,-103.3808941,31.5975701,-103.4095024,3,37105290; 37105290; 37105290,0,3,6,96,
2091140,BUNKER HILL,"OXYROCK OPERATING, LLC",10232,017,Bailey,1,,,,,,0   4J,0,1500,40,,,N,N,28,36 T3S,"T&P RR CO / WRAGE, H C",1079,31.8800253,-101.7438772,31.9090364,-101.7520492,4,38528030; 38528030; 38528030; 38528030,0,4,4,64,
2091141,BUNKER HILL E,"OXYROCK OPERATING, LLC",10232,017,Bailey,1,,,,,,0   8H,0,1500,40,,,N,N,28,36 T3S,"T&P RR CO / WRAGE, H C",1079,31.8795400,-101.7459258,31.9085489,-101.7540978,3,38528030; 38528030; 38528030,0,3,3,48,
2091142,BUNKER HILL F,"OXYROCK OPERATING, LLC",10232,017,Bailey,1,,,,,,0  12H,0,1500,40,,,N,N,28,36 T3S,"T&P RR CO / WRAGE, H C",1079,31.8794519,-101.7462983,31.9080611,-101.7561464,1,38528030,0,1,1,17,
2091144,BORDOVSKY J S 'A',CENTRAL GULF PETROLEUM INC,10040,016,,0,,,,,,1 193A,0,440,30,,,N,N,16,,"RT CO / HARDING, T A",1006,28.9978437,-98.8565154,28.9978437,-98.8565154,6,30000200; 30785066; 36460500; 30000200; 30785066; 36460500,6,0,2,12,SWITCHBUD PLACE #192 SWITCHBUD PLACE #192
2091145,WINDHAM 17F,"PIONEER NATURAL RES. USA, INC.",66574,046,,0,,,,,,9 206H,0,1095,80,,,N,N,17,39,T&P RR CO,431,31.5981687,-101.9938949,31.6394188,-102.0051463,9,38528030; 38528030; 38528030; 38527920; 38527920; 38527920; 38527920; 38527920; 38527920,0,9,9,160,
2091146,BODINE A2 10,"HANNATHON PETROLEUM II, LLC",10113,038,,0,,,,,,9  10H,0,1000,60,,,N,N,2,L,"BARTON, J R / B&B",19,31.6435817,-101.3722245,31.6085886,-101.3744679,1,38527920,1,1,1,20,
2091147,NATURE BOY 11-37 A,DIAMONDBACK E&P LLC,21701,032,,1,,,,,,0   1L,0,1300,20,,,N,N,11,38 T2S,T&P RR CO,159,31.9912270,-101.9609140,31.9545247,-101.9493441,1,38528030,0,1,1,16,
2091148,NATURE BOY 11-38 H,DIAMONDBACK E&P LLC,21701,032,,1,,,,,,0   3W,0,1300,20,,,N,N,11,38 T2S,T&P RR CO,159,31.9916591,-101.9581354,31.9554557,-101.9450548,10,38528030; 38528030; 38528030; 38528030; 38528030; 38528030; 38528030; 38528030; 38528030; 38528030,0,10,10,160,
2091149,DEPUTY 35-23,DIAMONDBACK E&P LLC,21701,013,Atascosa,1,,,,,,0   2H,0,1250,20,,,N,N,38,42 T3S,"T&P RR CO/ROBERTSON, C A",787,31.7148220,-102.3081680,31.7606148,-102.3208017,4,36999620; 38528030; 36999620; 38528030,0,4,2,56,
2091151,EPLEY-GLASSCOCK C8H,"PIONEER NATURAL RES. USA, INC.",66574,031,Blanco,1,,,,,,0 108H,0,1054,80,,,N,N,8,36 T1N,"T&P RR CO / EPLEY, J F",735,32.2461506,-101.8856721,32.2210925,-101.8779069,4,38528030; 38528030; 38528030; 38528030,0,4,4,78,
2091152,EPLEY-GLASSCOCK E8I,"PIONEER NATURAL RES. USA, INC.",66574,031,Blanco,1,,,,,,0 209H,0,1050,80,,,N,N,8,36 T1N,"T&P RR CO / EPLEY, J F",735,32.2475974,-101.8820182,32.2230238,-101.8695902,7,38528030; 38528030; 38528030; 38528030; 38528030; 38528030; 38528030,0,7,7,135,
2091154,HANSEN A,"DEVON ENERGY PRODUCTION CO, L.P",21637,012,,0,,,,,,2   9H,0,1400,80,,,N,N,,,"HARWOOD, J",213,29.2364241,-97.3843140,29.2236004,-97.3799959,1,32713575,0,1,2,16,
2091155,G-B MINERALS - G-B AMI R,"EOG RESOURCES, INC.",25316,047,Brooks,0,,,,,,4 108H,0,1465,20,,,N,N,1402,,"GC&SF RR CO / WALKER, S W",2089,27.7843694,-99.3928500,27.7600720,-99.3483149,4,33974425; 33974450; 33974425; 33974425,4,4,9,64,
2091156,G-B MINERALS - G-B AMI Q,"EOG RESOURCES, INC.",25316,047,Brooks,0,,,,,,1 306H,0,1500,20,,,N,N,1402,,"GC&SF RR CO / WALKER, S W",2089,27.7843694,-99.3929111,27.7578550,-99.3482982,1,33974450,1,1,3,16,
2091158,KCRA RECT,"ATMOS ENERGY CORP., MID-TEX DIV",03658,035,Bosque,0,,,,,,8   1,0,54,90,,,N,N,158,1A,"H&TC RR CO/ROPER, J D",1741,32.2254893,-100.4549073,32.2254893,-100.4549073,2,38528030; 30001400,0,1,3,20,O BOX 223705
2091159,SAM HALL B HS (AW),SABINE OIL & GAS CORPORATION,74214,020,,0,,,,,,6   2H,0,1200,30,,,N,N,156,,"TALLEY, E",703,32.5577250,-94.4567492,32.5224722,-94.4570983,3,39857040; 31603230; 31603230,0,3,3,48,
2091162,LOWRY-BONNER B (AW),SABINE OIL & GAS CORPORATION,74214,020,,0,,,,,,6   2H,0,1200,30,,,N,N,1,,"DOR, J M",4,32.5011333,-94.5093583,32.4726139,-94.5091667,1,31603230,0,1,1,16,
2091171,VENTANA SWD,VENTANA MIDSTREAM LLC,88451,041,Brazos,0,,,,,,6   3,0,645,80,,,N,N,,,"NEIL, G",524,31.6959305,-94.0281599,31.6959305,-94.0281599,1,34394085,1,0,2,4,36 COLLINWOOD AVE
2091177,EAGLE TWO,MAGNOLIA OIL & GAS OPERATING LL,52154,047,Brooks,0,,,,,,3H 02B,0,1250,40,,,N,N,,,"FRIAR, D B",42,30.2492978,-96.6152530,30.2293500,-96.6041145,3,33473350; 33473350; 33473350,3,3,3,48,
2091178,SPDTX SWD,WATERBRIDGE STATELINE LLC,90032,000,,1,,,,,,0  22,0,700,70,,,N,N,17,A40,"PSL / COX, B F",715,32.3188856,-103.0462655,32.3188856,-103.0462655,1,36489025,1,0,2,4,
2091180,SPDTX SWD,WATERBRIDGE STATELINE LLC,90032,000,,1,,,,,,0  26,0,700,70,,,N,N,16,A40,"PSL / FRANCIS, A C",732,32.3079997,-103.0634775,32.3079997,-103.0634775,1,36489025,1,0,2,4,
2091181,HIGHFALUTIN,"TRIO CONSULTING & MANAGEMENT,LL",87035,020,,0,,,,,,8   1,0,550,40,,,N,N,,,"LANG, G W",306,33.0913655,-99.9760650,33.0913655,-99.9760650,1,35088050,0,0,1,4,
2091182,BARGMANN QUAD USW C,BURLINGTON RESOURCES O & G CO L,10933,025,Bee,0,,,,,,2   1,0,1750,30,,,N,N,,,"HALDEMAN, J B",338,29.0866972,-97.6646583,29.0706982,-97.6305408,1,32713575,0,1,2,16,
2091183,CARELESS WHISPER F 19-15,"SURGE OPERATING, LLC",76072,022,,1,,,,,,0   3A,0,900,50,,,N,N,19,27,H&TC RR CO,758,32.4850860,-101.3364850,32.5206950,-101.3364900,1,38528030,1,1,2,21,
2091184,KING-BRISCOE STATE A,"LEWIS PETRO PROPERTIES, INC.",49997,047,Brooks,0,,,,,,1   5H,0,1200,80,,,N,N,1129,,GWT&P RR CO,322,27.9591750,-99.4654667,27.9766472,-99.4742250,3,38528030; 32713575; 33974450,2,3,6,53,
2091187,GATES 11-DR B,"LEWIS PETRO PROPERTIES, INC.",49997,047,Brooks,0,,,,,,11017H,0,900,80,,,N,N,47,,I&GN RR CO,455,28.1831306,-99.7448583,28.1624167,-99.7632611,4,36528020; 36528020; 36528020; 35492850,4,4,5,64,
2091188,GATES 11-DR D,"LEWIS PETRO PROPERTIES, INC.",49997,047,Brooks,0,,,,,,11019H,0,900,80,,,N,N,47,,I&GN RR CO,455,28.1831299,-99.7449532,28.1664378,-99.7689386,2,35492850; 35492850,2,2,4,32,
2091189,FLIGHT PATH,"TEP BARNETT USA, LLC",84298,043,Brewster,0,,,,,,3   8H,0,900,60,,,N,N,,,"LACY, W D",929,32.6753727,-97.1023571,32.6723460,-97.1136217,2,31603281; 36528020,2,1,2,20,
2091190,NOBLES WHITE 2032B,"CONTINENTAL RESOURCES, INC.",17377,032,,1,,,,,,0  02H,0,1226,70,,,N,N,20,40 T1S,"T&P RR CO / WISE, P",1414,32.0221389,-102.2365015,31.9799259,-102.2291270,3,38528030; 32889904; 32889904,0,3,3,53,
2091191,NOBLES WHITE 2032D,"CONTINENTAL RESOURCES, INC.",17377,032,,1,,,,,,0  04H,0,1226,70,,,N,N,20,40 T1S,"T&P RR CO/ WISE, P",1414,32.0221864,-102.2363101,31.9818491,-102.2210699,4,35387825; 30001000; 32889904; 32889904,1,2,5,40,
2091194,TROUBADOUR F,"PERMIAN RESOURCES OPERATING, LL",10085,038,,1,,,,,,0   7H,0,1200,20,,,N,N,1,51 T7S,T&P RR CO,731,31.2897747,-103.3752150,31.2878307,-103.3789779,12,37105290; 39835980; 37105290; 39835980; 37105290; 39835980; 37105290; 39835980; 37105290; 39835980; 37105290; 39835980,0,12,18,202,
2091195,EL HEFE,"GREENLAKE ENERGY OPERATING, LLC",33144,030,,1,,,,,,03714H,0,1035,80,,,N,N,61,1,W&NW RR CO,185,31.7136428,-103.4904838,31.6822655,-103.5234879,5,39835980; 39835980; 39835980; 39835980; 39835980,0,5,10,80,
2091196,"MAXFIELD, A. G. 38","BASA RESOURCES, INC.",05397,046,,0,,,,,,5   3,0,300,41,,,N,N,223,,NACOGDOCHES CSL,620,32.5373836,-95.6474285,32.5373836,-95.6474285,6,37105290; 37105290; 37105290; 37105290; 37105290; 39304200,1,5,12,133,
2091197,WICHITA-TAYLOR,"NEWPORT OPERATING, LLC",60788,048,,1,,,,,,3  51,0,90,30,,,N,N,1,,HT&B RR CO,139,33.8615790,-98.7697140,33.8615790,-98.7697140,11,36489025; 36489025; 31482000; 32449250; 32449250; 37105290; 33191380; 30000600; 37162550; 39715500; 39715500,5,4,16,110,5 RED RIVER EXPRESSWAY 5 RED RIVER EXPRESSWAY
2091198,EAGLE EIGHT,MAGNOLIA OIL & GAS OPERATING LL,52154,047,Brooks,0,,,,,,3H 08B,0,1250,40,,,N,N,,,"FRIAR, D B",42,30.2492055,-96.6152199,30.2285205,-96.5912716,13,38047324; 38047324; 38047331; 38047331; 30002200; 34995900; 34995916; 34995933; 34995966; 34995983; 38935220; 38935240; 33473350,8,7,15,108,
2091199,RATLIFF WHITE 1003D,"CONTINENTAL RESOURCES, INC.",17377,013,Atascosa,1,,,,,,0  04H,0,1208,70,,,N,N,10,42 T1S,"T&P RR CO/WHEAT, C C",678,32.0002730,-102.4074710,32.0268080,-102.4146990,13,30002200; 30633400; 38247833; 38247849; 38247866; 38249400; 32889904; 32889904; 32889904; 32889904; 32889904; 32889904; 32889904,6,7,8,120,
2091200,OVER THE LINE,"WARWICK-ARTEMIS, LLC",89902,049,Brown,0,,,,,,1   1H,0,890,30,,,N,N,,,"MENCHACA, HRS L",18,29.0217770,-98.0525710,29.0297093,-98.0649482,5,33191380; 38528030; 38528030; 32713570; 32713570,0,2,11,54,1 CONGRESS AVE STE 500 1 CONGRESS AVE STE 500
2091201,WASSON ODC UNIT,OCCIDENTAL PERMIAN LTD.,61754,050,,1,,,,,,1 920H,0,550,40,,,N,N,761,D,"GIBSON, J H",99,33.0302472,-102.7699972,33.0305278,-102.7488750,5,38222514; 38222514; 38222514; 30000400; 39539700,0,2,9,41,
2091202,SEMINOLE SAN ANDRES UNIT,OXY USA INC.,63059,016,,1,,,,,,12505R,0,620,11,,,N,Y,250,G,"WT RR CO/LAMB, D F",2146,32.7764889,-102.7097417,32.7748000,-102.7110889,3,38475050; 38222514; 38222514,2,3,5,40,
2091203,DUBOIS,"TERRAIN WATER SOLUTIONS, LLC",84328,028,,0,,,,,,5   1,0,1600,81,,,N,N,,,"BATEY, G/DUBOIS, W C",1399,31.3454776,-96.2374269,31.3454776,-96.2374269,5,38528030; 38528030; 38475050; 38528030; 30829970,0,4,6,73,
2091204,UNIVERSITY -C-,M.A.R.S. ENERGY,51856,037,Bowie,1,,,,,,0  11H,0,155,90,,,N,N,13,18,UL,U61,30.8875170,-102.3135979,30.8875261,-102.3151919,8,33473350; 33473350; 33473350; 33473350; 37688960; 32713575; 38528030; 38856200,1,7,10,117,4 W. TEXAS AVE STE 311
2091205,LHN FLAT IRON 36-24 D,CHEVRON U. S. A. INC.,14811,032,,1,,,,,,01038U,0,1150,30,,,N,N,36,40 T3S,"WARD, B F",1335,31.7488719,-102.1047554,31.7807785,-102.1128300,6,38528030; 38528030; 38528030; 38528030; 38528030; 38528030,0,6,6,96,
2091207,STATE OF TEXAS RAFTER O UNIT A,"KILLAM OIL CO., LTD.",46005,047,Brooks,0,,,,,,4  10H,0,1225,40,,,N,N,432,,"H&GN RR CO / PRATT, O",3208,27.8554108,-99.4850862,27.8559708,-99.5064258,2,38725424; 33974425,1,1,4,20,
2091208,STATE OF TEXAS RAFTER O UNIT A,"KILLAM OIL CO., LTD.",46005,047,Brooks,0,,,,,,1   9H,0,1250,40,,,N,N,432,,"H&GN RR CO / PRATT, O",3208,27.8554659,-99.4850774,27.8559708,-99.5064258,2,31201820; 33974450,1,2,5,32,
